id,word,total_count,total_frequency,trump_count,trump_frequency,obama_count,obama_frequency
111,get,1273,0.00233780448388329,979,0.0022302563086182663,294,0.0027850139724340454
223,than,1265,0.002323112861046631,959,0.002184694381986637,306,0.002898688012125231
730,his,1247,0.0022900567096641494,1025,0.002335048739871014,222,0.002102969734286932
90,or,1210,0.002222107954044604,1010,0.002300877294897292,200,0.0018945673281864255
904,what,1174,0.0021559956512796404,879,0.0020024466754601186,295,0.0027944868090749777
7902,fake,1172,0.0021523227455704755,1172,0.002669928900613491,0,0
539,democrats,1167,0.0021431404812975643,1151,0.0026220888776502804,16,0.00015156538625491403
242,about,1148,0.0021082478770605,831,0.0018930980515442077,317,0.003002889215175484
5135,-,1133,0.0020807010842417654,1128,0.0025696926620239063,5,4.736418320466063e-05
567,new,1127,0.0020696823671142715,934,0.0021277419736970998,193,0.0018282574716999005
264,would,1122,0.00206050010284136,957,0.002180138189323474,165,0.001563018045753801
133,an,1095,0.0020109158757676375,853,0.001943216170839,242,0.002292426467105575
104,been,1086,0.0019943878000763964,987,0.002248481079270918,99,0.0009378108274522806
225,time,1065,0.0019558222901301676,729,0.001660732225722897,336,0.0031828731113531946
629,should,1050,0.001928275497311433,802,0.0018270332579283447,248,0.0023492634869511676
453,today,1049,0.0019264390444568508,704,0.00160377981743336,345,0.0032681286411215837
205,america,1046,0.0019209296858931039,760,0.0017313532120019227,286,0.002709231279306588
296,many,1037,0.0019044016102018628,991,0.002257593464597244,46,0.00043575048548287785
7928,trump,1025,0.001882364175946875,1025,0.002335048739871014,0,0
142,its,982,0.0018033967031998355,538,0.0012256158263908347,444,0.004205939468573864
548,there,982,0.0018033967031998355,898,0.0020457305057601668,84,0.0007957182778382986
67,make,977,0.0017942144389269238,637,0.001451147363217401,340,0.0032207644579169232
426,never,975,0.0017905415332177593,915,0.0020844581433970516,60,0.0005683701984559276
391,me,968,0.001777686363235683,877,0.0019978904827969556,91,0.0008620281343248235
757,vote,964,0.0017703405518173538,768,0.0017495779826545745,196,0.0018566759816226969
69,one,936,0.0017189198718890488,670,0.0015263245421595897,266,0.002519774546487946
14,want,907,0.0016656627391061617,738,0.0016812350927071303,169,0.0016009093923175296
186,years,891,0.0016362794934328445,717,0.0016333950697439191,174,0.00164827357552219
140,american,889,0.00163260658772368,662,0.001508099771506938,227,0.002150333917491593
17,can,882,0.0016197514177416037,516,0.0011754977070960423,366,0.0034670582105811587
1182,were,879,0.0016142420591778567,696,0.0015855550467807082,183,0.0017335291052905794
2,dont,841,0.0015444568507037286,613,0.0013964730512594455,228,0.002159806754132525
59,states,838,0.0015389474921399817,729,0.001660732225722897,109,0.0010325391938616018
304,back,837,0.0015371110392853994,652,0.0014853188081911232,185,0.0017524747785724435
211,when,834,0.0015316016807216525,645,0.0014693721338700529,189,0.001790366125136172
4399,election,830,0.0015242558693033233,719,0.001637951262407082,111,0.001051484867143466
101,them,818,0.0015022184350483355,674,0.0015354369274859156,144,0.0013640884762942263
794,good,816,0.0014985455293391708,715,0.0016288388770807562,101,0.0009567565007341448
508,much,806,0.0014801810007933477,760,0.0017313532120019227,46,0.00043575048548287785
418,even,796,0.0014618164722475244,748,0.001704016056022945,48,0.0004546961587647421
463,jobs,793,0.0014563071136837775,511,0.001164107225438135,282,0.00267133993274286
43,going,786,0.0014434519437017013,653,0.0014875969045227047,133,0.001259887273243973
231,like,777,0.0014269238680104605,655,0.0014921530971858676,122,0.0011556860701937195
474,job,758,0.0013920312637733963,637,0.001451147363217401,121,0.0011462132335527874
0,,745,0.0013681573766638263,388,0.0008839013766536132,357,0.0033818026808127696
1684,done,743,0.0013644844709546616,662,0.001508099771506938,81,0.0007672997679155023
1220,which,721,0.0013240825081538507,695,0.0015832769504491267,26,0.0002462937526642353
8397,border,716,0.001314900243880939,716,0.0016311169734123377,0,0
238,congress,702,0.0012891899039167867,349,0.0007950556197219356,353,0.003343911334249041
1344,doing,699,0.0012836805453530398,650,0.0014807626155279602,49,0.0004641689954056742
72,state,696,0.0012781711867892928,625,0.0014238102072384232,71,0.000672571401506181
523,house,684,0.001256133752534305,567,0.0012916806200066976,117,0.0011083218869890588
8011,media,684,0.001256133752534305,684,0.0015582178908017305,0,0
25,over,677,0.0012432785825522287,553,0.001259787271364557,124,0.0011746317434755838
420,other,675,0.001239605676843064,631,0.001437478785227912,44,0.0004168048122010136
209,only,671,0.0012322598654247348,589,0.0013417987393014902,82,0.0007767726045564344
497,united,671,0.0012322598654247348,609,0.0013873606659331197,62,0.0005873158717377919
1712,must,661,0.0012138953368789117,625,0.0014238102072384232,36,0.0003410221190735566
54,because,655,0.0012028766197514178,529,0.0012051129594066014,126,0.001193577416757448
1452,china,653,0.001199203714042253,639,0.001455703555880564,14,0.0001326197129730498
375,day,649,0.001191857902623924,425,0.0009681909409221278,224,0.0021219154075687967
154,win,643,0.00118083918549643,574,0.001307627294327768,69,0.0006536257282243168
969,being,635,0.0011661475626597714,600,0.0013668577989488864,35,0.0003315492824326244
708,nothing,634,0.0011643111098051892,597,0.001360023509954142,37,0.0003504949557144887
256,way,624,0.0011459465812593658,550,0.0012529529823698126,74,0.0007009899114289774
1966,had,617,0.0011330914112772897,574,0.001307627294327768,43,0.0004073319755600815
888,again,612,0.001123909147004378,569,0.0012962368126698605,43,0.0004073319755600815
431,first,608,0.0011165633355860489,457,0.0010410900235327352,151,0.0014303983327807511
284,how,596,0.001094525901331061,428,0.0009750252299168722,168,0.0015914365556765973
82,work,592,0.0010871800899127319,373,0.000849729931679891,219,0.0020745512243641358
954,see,588,0.0010798342784944025,496,0.0011299357804644128,92,0.0008715009709657557
1152,am,584,0.0010724884670760733,544,0.0012392844043803237,40,0.00037891346563728506
65,go,579,0.0010633062028031616,425,0.0009681909409221278,154,0.0014588168427035475
406,know,571,0.001048614579966503,392,0.0008930137619799391,179,0.0016956377587268507
3727,military,560,0.0010284135985660977,548,0.0012483967897066496,12,0.00011367403969118553
2939,republican,558,0.001024740692856933,503,0.0011458824547854831,55,0.000521006015251267
417,economy,557,0.0010229042400023507,344,0.0007836651380640282,213,0.002017714204518543
1348,biden,555,0.001019231334293186,519,0.0011823319960907867,36,0.0003410221190735566
19,help,553,0.0010155584285840213,335,0.0007631622710797949,218,0.0020650783877232035
992,him,552,0.001013721975729439,504,0.0011481605511170646,48,0.0004546961587647421
66,last,551,0.0010118855228748568,387,0.0008816232803220316,164,0.0015535452091128689
429,americans,551,0.0010118855228748568,203,0.00046245355531103987,348,0.00329654715104438
405,got,549,0.0010082126171656921,403,0.0009180728216273353,146,0.0013830341495760907
120,into,546,0.0010027032586019452,467,0.0010638709868485499,79,0.0007483540946336381
574,why,546,0.0010027032586019452,428,0.0009750252299168722,118,0.001117794723629991
984,made,545,0.001000866805747363,469,0.0010684271795117128,76,0.0007199355847108417
127,ever,543,0.0009971939000381982,493,0.0011231014914696682,50,0.0004736418320466064
4471,total,543,0.0009971939000381982,538,0.0012256158263908347,5,4.736418320466063e-05
601,bad,541,0.0009935209943290335,530,0.0012073910557381829,11,0.0001042012030502534
2435,tax,534,0.0009806658243469574,313,0.0007130441517850023,221,0.0020934968976460003
29,year,532,0.0009769929186377927,343,0.0007813870417324467,189,0.001790366125136172
